benchmark,ways,policy,accesses,hits,misses,miss_rate_percent,log
456.hmmer-191B,4,lru,265856,175765,90091,33.88714191141069,hmmer_lru_4way.log
456.hmmer-191B,4,hawkeye,265859,171817,94042,35.37288562734382,hmmer_hawkeye_4way.log
456.hmmer-191B,8,lru,265798,194219,71579,26.929848983062325,hmmer_lru_8way.log
456.hmmer-191B,8,hawkeye,265798,194236,71562,26.92345314863167,hmmer_hawkeye_8way.log
456.hmmer-191B,16,lru,265810,196847,68963,25.944471615063392,hmmer_lru_16way.log
456.hmmer-191B,16,hawkeye,265857,201468,64389,24.219411187217187,hmmer_hawkeye_16way.log
429.mcf-22B,16,lru,1943704,683822,1259882,64.81861435691854,mcf_lru_16way.log
429.mcf-22B,16,hawkeye,1943622,696668,1246954,64.15619909632635,mcf_hawkeye_16way.log
473.astar-42B,16,lru,658152,528935,129217,19.633306591790348,astar_lru_16way.log
473.astar-42B,16,hawkeye,657583,531244,126339,19.21263171341108,astar_hawkeye_16way.log
